关键词,一级,二级,关键词属性,上报单位,上报时间,入库时间
步兵列表,淫秽色情,淫秽信息,没定义,重庆市公安局万盛区分局,"2017-08-14 10:42:37","2017-08-23 10:44:37"
ipz系列,淫秽色情,淫秽信息,没定义,重庆市长寿区公安局,"2017-08-08 17:40:50","2017-08-23 10:44:37"
RKI系列,淫秽色情,色情信息,没定义,重庆市彭水县公安局,"2017-08-07 15:37:15","2017-08-23 10:43:32"
中断式汽枪,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市忠县公安局,"2017-07-27 14:33:35","2017-08-23 10:43:32"
厕奴,淫秽色情,色情信息,没定义,重庆市彭水县公安局,"2017-08-08 10:11:51","2017-08-23 10:42:48"
阿富汗株weed飞行员燃料,法律法规禁止、管制销售的违禁品,涉毒,没定义,重庆市涪陵区公安局,"2017-08-02 11:08:35","2017-08-23 10:42:00"
防真抢,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市云阳县公安局,"2017-08-18 10:12:00","2017-08-23 10:41:28"
我本初中系列,专项清理,我本初中,没定义,江西省萍乡市公安局,"2017-08-02 14:54:30","2017-08-16 17:27:56"
我本初中,淫秽色情,淫秽信息,没定义,河北省邢台市内丘县公安局,"2017-08-07 12:16:10","2017-08-16 17:27:56"
健沪狗,法律法规禁止、管制销售的违禁品,涉枪,没定义,公安部十一局,"2017-06-20 10:28:05","2017-08-15 15:52:41"
农夫燃料,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省广州市公安局,"2017-04-28 18:23:21","2017-06-28 10:02:43"
飞行员补料,法律法规禁止、管制销售的违禁品,涉毒,没定义,广东省广州市公安局,"2017-04-28 18:18:21","2017-06-28 10:02:43"
双弹鼓,法律法规禁止、管制销售的违禁品,涉枪,没定义,山东省菏泽市东明县公安局,"2017-05-31 14:35:51","2017-06-28 09:44:41"
RKI,淫秽色情,淫秽信息,没定义,重庆市长寿区公安局,"2017-06-01 10:19:11","2017-06-28 09:40:32"
浇筑母鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市江津区公安局,"2017-06-06 15:22:17","2017-06-28 09:39:49"
钳子母鸡,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2017-06-07 11:00:35","2017-06-28 09:39:49"
ED中握,法律法规禁止、管制销售的违禁品,涉枪,没定义,重庆市涪陵区公安局,"2017-06-07 10:22:28","2017-06-28 09:39:49"
仿绿5.5,法律法规禁止、管制销售的违禁品,涉枪,没定义,海南省乐东黎族自治县公安局,"2017-06-05 15:06:13","2017-06-28 09:39:49"
秃鹰阻铁,尚无法律法规禁止、管制销售的违,类枪器械,没定义,山东省临沂市公安局兰山分局,"2017-06-07 10:26:50","2017-06-28 09:39:49"
